id,googlePlaceId,categoryId,name,description,address,phone,email,website,latitude,longitude,imageUrl,rating,reviewCount,openingHours,city,neighborhood,isActive,createdAt,updatedAt,tags
"1,ChIJZXwAkudfNRMReypRBmfUfYI,2,Autoservis Check engine,""Dračevac 100, Split"",""Dračevac 100, Split"",091 196 7465,,,43.5233153,16.5056724,https://forge.manus.ai/v1/maps/proxy/maps/api/place/photo?maxwidth=400&photo_reference=AcnlKN1_r-X371PsVDR4OjhMMo5RMcnztLAN0haCd2JsrhjGn6IkRYklGaKCDgq44xcETltENwkeTZ-ifnrtZ1EEp5XBGADm7UUMo3pOyHUOGS7MYnp0LKzfcn9Hoz2hUTIy_4vcmjlATbZge2FiGNq4LlSVndlm8XwTUjkQKfERfzZJxSforQhsqjaUl5u9zcvR3cCylLBRKdpHgCP6T_bHkxD1jy7UQfVhe3CBgJbTl0ZTnwvtx0y82r211EslPo6vh7Lmi7cNclIw7iaSZHygwKqWVnjqjcULZmhjavLw4sX2zpyd&key=cV2Lg3aXb9bc2bdPrSkvy2,4.9,61,""Monday: 9:00 AM – 5:00 PM, Tuesday: 9:00 AM – 5:00 PM, Wednesday: 9:00 AM – 5:00 PM, Thursday: 9:00 AM – 5:00 PM, Friday: 9:00 AM – 5:00 PM, Saturday: Closed, Sunday: Closed"",Solin,Dračevac 100,1,2026-01-29 00:47:48,2026-01-29 00:48:52,"
"2,ChIJ5WTxnWVfNRMRQ6_koiCBWUQ,2,Auto servis Jerčić,""Josipa Jovića 40, Split"",""Josipa Jovića 40, Split"",021 584 406,,,43.5173402,16.4835785,https://images.unsplash.com/photo-1552820728-8ac41f1ce891?w=400&h=300&fit=crop,4.3,44,""Monday: 9:00 AM – 6:00 PM, Tuesday: 9:00 AM – 6:00 PM, Wednesday: 9:00 AM – 6:00 PM, Thursday: 9:00 AM – 6:00 PM, Friday: 9:00 AM – 6:00 PM, Saturday: Closed, Sunday: Closed"",Solin,Josipa Jovića 40,1,2026-01-29 00:47:48,2026-01-29 01:59:36,"
"3,ChIJNwNirDNeNRMR4M9pcNs-zkU,2,Autoservis Ticinovic,""Ostravska ul. 7e, Split"",""Ostravska ul. 7e, Split"",098 712 640,,http://www.ticinovic.hr/,43.51131100000001,16.4843243,https://forge.manus.ai/v1/maps/proxy/maps/api/place/photo?maxwidth=400&photo_reference=AcnlKN11bH1U-s7DAUi2MNFTsJonv51EA3UA18YUUrYTqMNGph1sxig2d3afNhSOE1U5GkudCUe4Ugv7Pa5Wmu3d6OO5F7r4lj5DiLHy0ZBLcDmR0DABLeUjVvQ9paru094Xmv8xMfJUm1Hu8jAxszg5tF-jyezqAsvorUES9idAodXRKAZ0DUudUQY4A7rsCvfDNZCWNjO369Dw2APqz8bv2IqkZVVXuPkzOO-XZt69ReFcwPwSaNqdP6l4g9etUPC2EwZZQ1S4nxCZ0NDKv9naPTF7Rx4cQqIP2rHSNHQBTmBVz37jqy8&key=cV2Lg3aXb9bc2bdPrSkvy2,4.7,173,""Monday: 8:00 AM – 4:00 PM, Tuesday: 8:00 AM – 4:00 PM, Wednesday: 8:00 AM – 4:00 PM, Thursday: 8:00 AM – 4:00 PM, Friday: 8:00 AM – 4:00 PM, Saturday: Closed, Sunday: Closed"",Solin,Ostravska ul. 7e,1,2026-01-29 00:47:48,2026-01-29 00:48:53,"
"4,ChIJv-27CGFDNRMReeTojNWJTZY,2,Auto Centar Karauz,""Dračevac 18C, Split"",""Dračevac 18C, Split"",095 833 4534,,https://m.facebook.com/ackarauz/,43.52635739999999,16.5028344,https://forge.manus.ai/v1/maps/proxy/maps/api/place/photo?maxwidth=400&photo_reference=AcnlKN2wFhv7nVvQ9U_OfWgyAWMktdsVzgF-L-OhO4f8vnnsqSsA4HTY5aMxuViQy5Ku-b7FMoHS2Le4D1DrnkX0YdFmxHn5wES9lDTwfUpEYi1jdJ4H5cpcfkzhu-6EGOfh6N4lHtCYJn21Ah3t3ftiRV9ZWjD4QJITwlbhYhbLF7TBESv4Emkb8WU6xtBD8gE5NBcITtf_5aK1LxAYc6x1DhOV8Ilbwq3nS1GZhxU7K6A9OQ8AuoedXXmCu4BZv7KHWg15xsPCMFpmKjehNbLK4ULFDBHLODka2H8eXpOJMrneZGPSfDg&key=cV2Lg3aXb9bc2bdPrSkvy2,4.9,38,""Monday: 9:00 AM – 5:00 PM, Tuesday: 9:00 AM – 5:00 PM, Wednesday: 9:00 AM – 5:00 PM, Thursday: 9:00 AM – 5:00 PM, Friday: 9:00 AM – 5:00 PM, Saturday: 9:00 AM – 1:00 PM, Sunday: Closed"",Solin,Dračevac 18C,1,2026-01-29 00:47:50,2026-01-29 00:48:55,"
"5,ChIJs408CG5fNRMRgGeVagC0IpU,2,Q-service/TotalEnergies Auto servis Marko,""Stobrečka ul. 2b, Split"",""Stobrečka ul. 2b, Split"",098 775 196,,https://www.q-service.hr/mreza-servisa/autoservis/115/auto-servis-marko-doo/,43.50835379999999,16.5002664,https://forge.manus.ai/v1/maps/proxy/maps/api/place/photo?maxwidth=400&photo_reference=AcnlKN0UyATS8f5n2NYkkcYo_WSiU1tWIkrmPbFkGclrmgYFhF52gezOqqY_0hmtFlYeId4iVaUSNcSTkmvshUCsYW3DwfRp-rGf-e7tTecGMjp6QPfxayFKAqEHFbe1HhJ1DqZWWM3VKciBfNyCQ-XbYpZLvzwwEPmmyqSKLadr0ijAFlCZpCkOqY7OikHaHCCJwVevK_t6iKJGtLBn608EpMa1m7H6jxbVPEiAYbbL5aSibJ8jFqa0a_Hz4v3r_CwbVTYUcZoakFPfovmkv6SKMzuOSvJO400mbfIXxvv1SVvbOPAgfrMyZsiJNMgqP7QoA4lH5sljSXzogiyElVKIkx3UgDFA2vX7vsqyxyvl41BmQ75Pf_IfTicC-S2Szn5JHmjtyA6L41i4pDBG-Esy7WUYAb2WoVp3wxQ1w_UrKbNSf7PV1QCMbDS636mBnjzc0wIh7jg9MhuSppDl6NoppSkRErC1joziXOGQdHMaCTGBza-mVs0w-9l9ovyKJl6IQC2meDGXhbx70K9PJVL9Ox7FjuqBFwnSEkNtIU4CRadqT0Xvs3nlyPqwfcCkfkkWtJXJ7A&key=cV2Lg3aXb9bc2bdPrSkvy2,4.6,85,""Monday: 8:00 AM – 5:00 PM, Tuesday: 8:00 AM – 5:00 PM, Wednesday: 8:00 AM – 5:00 PM, Thursday: 8:00 AM – 5:00 PM, Friday: 8:00 AM – 5:00 PM, Saturday: Closed, Sunday: Closed"",Solin,Stobrečka ul. 2b,1,2026-01-29 00:48:04,2026-01-29 00:48:52,"
"6,ChIJNe1xu79fNRMRfqwVUk7f5iY,2,SERVIS KOVAČEVIĆ D.O.O.,""Ul. Hrvatskih vitezova 35, Split"",""Ul. Hrvatskih vitezova 35, Split"",098 956 8958,,,43.5154873,16.5091438,https://forge.manus.ai/v1/maps/proxy/maps/api/place/photo?maxwidth=400&photo_reference=AcnlKN39yk9ifGRPSvWSNrjGajCNHC9Oizgejupkr3Hi4tSrVOJs-uH7vuHTAcPRMKp44uSccF72QQc51PE3rlTB9z_gj111OLMw1nHjYzQlbNw7J-SxEc4qHXSVmlv1wqkDLN5asv3JmMzSa9EFpMjmye-uEwzV5Uc1gxVxgQGFDyTXCyP5rypY2gLaW8Y7AOlefcOxeQJzk85nHEYZRQu3ivuDLVt4AjemgnBjXzgWSdF9UvcRPd7M3m6LfI9csd6PDCsLiOxZst9VYVJBeXQHff8vuqLRS5vXorY0fzVa8_E1sQ2_x4C-8FcTWxUQDqV00PUvSNiD3UF2zdCQjJzata8R2Q0U6DQOmDBJinTYOmyEPs1RizqiqX72CfGLYAcKrki1cZ0AeEmwQwBg2__4R6teDnM7B5XOsKyKS349zUOEtIJAfTur-zns-EwPJ3jg3lJbBnbYzVtF1HFl0H6gfOFCki1-PYDy20rbLcnZjTkWrJqqdCIARgZoksj-KGWI7c8LwrySrpwt31LgMDlHoLAN-HGG5EYhA0sG-Ff7880jy1FhGyk9t0MEVGd1uA44FHhF2CP3s1gOTwFHLWKU8up1zSVZPw&key=cV2Lg3aXb9bc2bdPrSkvy2,4.9,56,""Monday: 8:00 AM – 4:00 PM, Tuesday: 8:00 AM – 4:00 PM, Wednesday: 8:00 AM – 4:00 PM, Thursday: 8:00 AM – 4:00 PM, Friday: 8:00 AM – 4:00 PM, Saturday: Closed, Sunday: Closed"",Solin,Ul. Hrvatskih vitezova 35,1,2026-01-29 00:48:05,2026-01-29 00:48:52,"
"7,ChIJZ1gPVBxeNRMRvOUtWeuJx3U,2,AUTO HRVATSKA D.D.,""Dubrovačka ul. 1, Split"",""Dubrovačka ul. 1, Split"",021 530 100,,https://www.fininfo.hr/Poduzece/Pregled/auto-hrvatska/Detaljno/52465,43.5057347,16.4558477,https://forge.manus.ai/v1/maps/proxy/maps/api/place/photo?maxwidth=400&photo_reference=AcnlKN3k4Q9lHr-0NUjnJWRomhMu8wSDrz4cGiL-W7Rafy-DHDvi1RYcU5kZ4Ig_8eSfyWsWTDM5WpT6okGEkWAOHENSDLVYwTFnd3NN8IAti0tNTFaeZ0yaEUzYkYuRbuKYRLWOsVprWKK1qWAmMvBGuIKYRrOXrqDP2q-SqshJ87MkSh3BBQwR119t1FS_g2ttO2Cz43Ffd-cvi4arxtrl_AcCJKnVFMtBiKnefdDN5MyXsU5A7hBSzCDQC7j0aXBTlg2ULkFMDf81hpFofc5lspceqDdNEJtCNmUnpu5OJzET2zd_2qdlSIdmQnXHKdulCuhhOF6ipt-26ubprq9ZGuVBFg8B6MMFTgmfYbzxwpKi7siUx6h6kBFaoqKv35f3yH_61Kcj6-FQmEtoGMIwMTvF_wDxf1NDnR5TndWBzSCq3B-a6QvtA8bx1URPaBqRU7DPpTLWXaCZ4-s5Oc_PRiOvMOOBALMuUS-wlx1fvzpE8byFelI6ZBZ900otPLsWRuOXioQtakMxchI70aCcx39EMtEqjbrsXAE1jA2RHgIDdyTIbVUYWmQ6J6VqipHyG_VKx1Wx&key=cV2Lg3aXb9bc2bdPrSkvy2,4.8,24,,Solin,Dubrovačka ul. 1,1,2026-01-29 00:48:06,2026-01-29 00:48:54,"
"8,ChIJ-7ZS3xxeNRMRLP-yECZk2ys,2,Autoservis Katic,""Kapićeva ul. 4, Split"",""Kapićeva ul. 4, Split"",098 940 5268,,http://www.autoservis-katic.com.hr/,43.5058221,16.4533912,https://forge.manus.ai/v1/maps/proxy/maps/api/place/photo?maxwidth=400&photo_reference=AcnlKN0fFY3cc2IYWGhqNfJe-62IWz7XPfO36k1WZP5iY1wpEhLgWde6L7bKhhoQ0Pv2qYDCNe3gfEz6CQk4njICLi-k3xauR-ESLP7m_5Tsk9cOjy8Lc36UdJ4OEfndZ-cjZTYsRfYysP6t4JvzPcsugxol_ydNraO9drvkdHbln1Y-no5jktv3PaVs1BlzYuGPFe30c9VD_cH1moZA8IIOBxf_AtmHVYr_lAySG2C4kjd8o3N-E1ztiBMHvcMsoWk1qLDw-SBnyPcVTW8N6F0KhV8j3ozvko0lNLeBdbarov1AaUSReuHdQLfWWLn4rV5LNCxzwxnnsjvCKY_XJwbgF7NAz0Uc_D5ZE7Z9v-tgCy8EXRlQN4WlFSDcOOBH5vE0yTBuyu6YiX3tZKTtQpntCqB1rPBz2VG4f3cCv0MPukDl9Yzkx4atYRcdCNfTKiR_5xSjj3eQ-vmQBEpdHSkeF0W0FAygkuyaf3ip1qEr70soBUj4jP0R2yMXsxM41n8-ZcyfdKWVo0YAcsty9-SYQSX2NgB3JZWqiRVMLJOXJndpPtiDGYobDR4WP0buWxSy-uFl2Stp&key=cV2Lg3aXb9bc2bdPrSkvy2,4.8,124,""Monday: 9:00 AM – 5:00 PM, Tuesday: 9:00 AM – 5:00 PM, Wednesday: 9:00 AM – 5:00 PM, Thursday: 9:00 AM – 5:00 PM, Friday: 9:00 AM – 5:00 PM, Saturday: 9:00 AM – 1:00 PM, Sunday: Closed"",Solin,Kapićeva ul. 4,1,2026-01-29 00:48:06,2026-01-29 00:48:53,"
"9,ChIJVWxEAqpfNRMRqo2hsaXYcAc,2,Autoservis JM Cars,""Alkarska ul. 49, Split"",""Alkarska ul. 49, Split"",091 472 0912,,,43.5101332,16.5163695,https://forge.manus.ai/v1/maps/proxy/maps/api/place/photo?maxwidth=400&photo_reference=AcnlKN16bAxSFWQo6DLPCUBbbMV1HvnELH_IUQ1lsMVLvtpNI1cBIGosu4_PsdKxzcFc0HfguynFzoWNeYCVWFgKOcZSAuACOoMbWosX1fbvj759GieUzuXd2hsRmEcok-bv7VSyPMpvYu1loWAaYZqRnsMBdBkLLA1gtfWLjsswDPufEbxkEhI24-3JjWFdZ9EpXBOIEQhkFGsi3mvYeV9o-LWXUFRu19Xtqzx8rDx3m2b71Sh_8v8LH_UwVsJlE_uf3aJihnDuJ8uC0rmk7I8rdbUAtVdKRH7_F3aTwWP9Mp7LH0MmoDHAYVpRHHHqg6Iqt3PKvKzFON7Hs_dAX6hX2NVHMSTKnnXvva_uzXQ9hMThXM3UizFEX_6HPDzIfgrifpWAKW1CBSeGpOjwmZvSCyVW0PoMrhmk2QC6VBQDuQ1y8HjRvOYaySWQ0XKk1bhtOx9JAT40dIXH1mUmrs4RG-GcO7NfvdcEy6tJ-ZmGVpMAP9YQi4VpmWR__HCX9lLMzanm8FU2NR_Qs9AlKTXcjUl-j8A_KVxijJLE8fi_MEe85SfFNKbe6gzdT3minIeS0Mk4825U&key=cV2Lg3aXb9bc2bdPrSkvy2,5,26,""Monday: 8:00 AM – 5:00 PM, Tuesday: 8:00 AM – 5:00 PM, Wednesday: 8:00 AM – 5:00 PM, Thursday: 8:00 AM – 5:00 PM, Friday: 8:00 AM – 5:00 PM, Saturday: Closed, Sunday: Closed"",Solin,Alkarska ul. 49,1,2026-01-29 00:48:07,2026-01-29 00:48:54,"
"10,ChIJxYAA4CReNRMRO8GfdYDbuo4,2,JURIŠIĆ AUTO,""kroz Smrdečac 33A, Split"",""kroz Smrdečac 33A, Split"",098 987 3239,,,43.5093503,16.4730278,https://forge.manus.ai/v1/maps/proxy/maps/api/place/photo?maxwidth=400&photo_reference=AcnlKN08gPAsoHjOJJJJ7xJhEMiCAeBx-s0Au3emcVSZBylI49ZdY4DwP2MDV3ykqUVOz5OBjfI8UOYGXJRBllIUIm-29kIqBql_aupJvLbyppM-Uw8Z3VJll2HlK-2uqURGQDC2DgwyFVUUo4Y6e5GInsYvCAy2QhP-VnQjRO5RBfR25V88ygh3Kax3xeavOEuWuOy4mqvyjOE0tLkDbEfPDU6yGfjoFgmpMWwLLnjcsggdSE2bEb_O7X6JCH71_2WH0FNdhY35TNYOw0StXz6Ndl2YKdgUFHCbA7jtZQHcQKFrABcf2wusKuWefJC6GTa4HrbPyin4UfuyUzeMHnb7wtP3Ks__X5_i_iJ1jAnfmYQL1USRm9CYVYDOwRVQSD6ESOEFEADNGGoNIJae7YRgDhy0LIWT8QjAGieOjdvcqAu-wVBCdjI5lLe8LHDFqo3TAwGCvvlH6EQgffvSyDPkrS4ubX7Vlx7use9TUDD51zTjhTv2Xf33tvtAnhMV_7Jwn_UISXasgv6rj8DaTxAR6ayrC7rmbSmf5BOnM1eJ836A8J80tB66FX0QV2WJoFDGdXVxzfW0crVjuA&key=cV2Lg3aXb9bc2bdPrSkvy2,4.8,91,""Monday: 8:00 AM – 4:00 PM, Tuesday: 8:00 AM – 4:00 PM, Wednesday: 8:00 AM – 4:00 PM, Thursday: 8:00 AM – 4:00 PM, Friday: 8:00 AM – 4:00 PM, Saturday: Closed, Sunday: Closed"",Solin,kroz Smrdečac 33A,1,2026-01-29 00:48:08,2026-01-29 00:48:55,"
"11,ChIJUXibmRlfNRMReBpBOGjBqZE,2,""Auto Servis """"Oršulić"""""",""Ul. don Petra Peroša 103a, Mravince"",""Ul. don Petra Peroša 103a, Mravince"",099 430 0950,,,43.5327007,16.5120973,https://forge.manus.ai/v1/maps/proxy/maps/api/place/photo?maxwidth=400&photo_reference=AcnlKN1VDl77qdB69hsKZkupJD0l5yxGuU9-LAFXiAzgk0GGENkPR83jCUZaBozO_uKX13NF-L9OjMUu24HhWKsGKFFJhORo65tQo0fkQyYTztfYv1nHwlr-0J1qMabDutGJtaCmr1oLuf6wh-TxXaCQF3XxqBSsdLWDxMtLs50ep_zFjjE_cKPm8COZuqCHgSZCw5-aSn5kTx8g2zTNvonDf1BI7v9Rq98rapzUna_gi-S4pvI1rLlaeFb1E1GbK_9wLMVzWZLuvSV04GJpo1biV_5tApllBPsFZfrkdy6RnfxanSTWvtg&key=cV2Lg3aXb9bc2bdPrSkvy2,4.6,33,""Monday: 8:00 AM – 4:00 PM, Tuesday: 8:00 AM – 4:00 PM, Wednesday: 8:00 AM – 4:00 PM, Thursday: 8:00 AM – 4:00 PM, Friday: 8:00 AM – 4:00 PM, Saturday: Closed, Sunday: Closed"",Solin,Ul. don Petra Peroša 103a,1,2026-01-29 00:48:08,2026-01-29 00:48:56,"
